VES S/N,Easting (Min),Northing (Min),Elev(m),No. of Layer,Curve Types,"Res. of layer
p1/p2/…pn-1",Thickness of layers h1/h2/h3/h4,"Depth of layers
d1/d2/d3/d4",Thickness Topsoil h1(m),Thickness Laterite h2(m),Thickness weathered h3 (m),Corrected Thick. weathered (m),Thickness Fractured h4 (m),Corrcted Thick. Fractured (m),"Thick. Overb.
B1=h1+h2",Total Aquifer Thick. B2=h3+h4,Corrected Total Aquifer Thick,DTFB= B1 + B2,Corrected DTB,Recom. DBH,p1,p2,p3,p4,p5,Res. Of Topsoil,Res. Of Laterite,Long. Cond. (mhos) Topsoil,Long. Cond. (mhos) Laterite,Long. Cond. (mhos) OVERBURRDEN,Storage Weathered,Storage Fractured,TOTAL STORAGE,Logarithm of Topsoil,RESISTIVITY OF FRESH BASEMENT,Logarithm Fresh Basement,"AQUIFER RES of Weathered. 
(Ohm-M)",Logarithm Weathered,Hydraulic Conductivity (K),Transmissivity (T),Cost of Constructing Borehole
221,35.5,30.94,308,4,KH,170.9/389.6/34.1/183.0,0.6/1.7/23.0,0.6/2.3/25.3,0.6,1.7,23,24.587,0,0,2.3,23,24.587,25.3,27.0457,42.0457,170.9,389.6,34.1,183,,170.9,389.6,0.004,0.004,0.008,29.504,0.000,29.504,2.233,183.000,2.262,34.100,1.533,14.3628,353.13714,273297.05
222,35.7,31.39,372,3,H,205.5/43.8/615.1,9.6/24.0,9.6/33.6,9.6,0,24,25.656,0,0,9.6,24,25.656,33.6,35.9184,50.9184,205.5,43.8,615.1,,,205.5,0,0.047,0.000,0.047,30.787,0.000,30.787,2.313,615.100,2.789,43.800,1.641,11.3716,291.74926,330969.60
223,35.31,31.19,310,4,HA,101.9/18.0/294.7/416.6,0.7/3.3/18.5,0.7/4.0/22.5,0.7,3.3,18.5,19.7765,0,0,4,18.5,19.7765,22.5,24.0525,39.0525,101.9,18,294.7,416.6,,101.9,18,0.007,0.183,0.190,23.732,0.000,23.732,2.008,416.600,2.620,18.000,1.255,26.0664,515.50241,253841.25
224,35,31.39,279,3,H,770.4/41.2/131.7,1.1/14.3,1.1/15.4,1.1,0,14.3,15.2867,0,0,1.1,14.3,15.2867,15.4,16.4626,31.4626,770.4,41.2,131.7,,,770.4,0,0.001,0.000,0.001,18.344,0.000,18.344,2.887,131.700,2.120,41.200,1.615,12.0396,184.04596,204506.90
225,33.93,29.46,289,4,HK,112.0/186.1/927.4/210.7,0.6/6.5/19.1,0.6/7.1/26.1,0.6,6.5,19.1,20.4179,0,0,7.1,19.1,20.4179,26.2,28.0078,43.0078,112,186.1,927.4,210.7,,112,186.1,0.005,0.035,0.040,24.501,0.000,24.501,2.049,210.700,2.324,186.100,2.270,2.9495,60.22276,279550.70
226,33.5,29.11,318,4,HA,34.7/15.5/874.5/135.6,0.8/2.9/18.2,0.8/3.7/22.0,0.8,2.9,18.2,19.4558,0,0,3.7,18.2,19.4558,21.9,23.4111,38.4111,34.7,15.5,874.5,135.6,,34.7,15.5,0.023,0.187,0.210,23.347,0.000,23.347,1.540,135.600,2.132,15.500,1.190,29.9682,583.05442,249672.15
227,33.73,29.25,385,4,AK,17.6/23.1/78.5/40.2,0.9/2.8/11.7,0.9/3.7/15.5,0.9,2.8,11.7,12.5073,0,0,3.7,11.7,12.5073,15.4,16.4626,31.4626,17.6,23.1,78.5,40.2,,17.6,23.1,0.051,0.121,0.172,15.009,0.000,15.009,1.246,40.200,1.604,40.200,1.604,12.3188,154.07440,204506.90
228,32.4,28.74,306,3,H,157.3/19.8/57.0,8.0/19.4,8.0/27.4,8,0,19.4,20.7386,0,0,8,19.4,20.7386,27.4,29.2906,44.2906,157.3,19.8,57,,,157.3,0,0.051,0.000,0.051,24.886,0.000,24.886,2.197,57.000,1.756,19.800,1.297,23.8489,494.59345,287888.90
229,33.23,29.02,603,4,,26.6/646.5/152.9/529.3,2.0/17.9/36.2,2.0/19.8/56.1,2,17.9,36.2,38.6978,0,0,19.9,36.2,38.6978,56.1,59.9709,74.9709,26.6,646.5,152.9,529.3,,26.6,646.5,0.075,0.028,0.103,46.437,0.000,46.437,1.425,529.300,2.724,152.900,2.184,3.5429,137.10161,487310.85
230,33.45,28.99,930,3,H,70.6/27.3/154.5,0.7/9.3,7.2/25.0,0.7,0,9.3,9.9417,0,0,0.7,9.3,9.9417,10,10.69,25.69,70.6,27.3,154.5,,,70.6,0,0.010,0.000,0.010,11.930,0.000,11.930,1.849,154.500,2.189,27.300,1.436,17.6743,175.71230,166985.00
231,33.87,28.72,305,3,H,395.2/34.7/297.9,7.1/18,7.1/25.1,7.1,0,18,19.242,0,0,7.1,18,19.242,25.1,26.8319,41.8319,395.2,34.7,297.9,,,395.2,0,0.018,0.000,0.018,23.090,0.000,23.090,2.597,297.900,2.474,34.700,1.540,14.1310,271.90787,271907.35
232,33.51,28.66,304,4,HA,86.2/20.0/737.1/943.7,0.8/3.1/13.6,0.8/3.8/17.4,0.8,3.1,13.6,14.5384,0,0,3.9,13.6,14.5384,17.5,18.7075,33.7075,86.2,20,737.1,943.7,,86.2,20,0.009,0.155,0.164,17.446,0.000,17.446,1.936,943.700,2.975,20.000,1.301,23.6264,343.48986,219098.75
